País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;64368;64541;71936;51262;38849;45906;53978;36986;20180;23401;38662;62475;572544
AMÉRICA DEL NORTE;59456;59254;67324;46936;35287;42898;49205;33600;17348;20350;34754;56950;523362
Canadá;16103;15526;11714;7016;3553;2322;3551;3021;1484;2935;6769;11965;85959
Estados Unidos;43197;43568;55438;39737;31583;40342;45395;30461;15693;17336;27837;44840;435427
México;156;160;172;183;151;234;259;118;171;79;148;145;1976
AMÉRICA CENTRAL;120;101;146;122;128;149;149;126;151;119;148;212;1671
Belice;;;;2;;5;;1;4;1;;1;14
El Salvador;43;17;29;21;50;26;61;68;39;35;34;100;523
Guatemala;32;15;49;16;43;52;21;21;47;22;33;35;386
Honduras;7;4;12;15;10;9;16;6;12;11;13;12;127
Nicaragua;22;16;35;20;15;13;26;14;21;19;21;48;270
Panamá;16;49;21;48;10;44;25;16;28;31;47;16;351
AMÉRICA DEL SUR;429;368;272;352;306;285;616;316;287;231;247;459;4168
Argentina;138;59;58;65;58;51;83;29;44;30;31;107;753
Bolivia;1;2;1;5;2;4;20;2;3;1;13;4;58
Brasil;87;92;88;71;82;50;156;100;88;66;63;114;1057
Chile;94;104;25;41;29;23;102;54;61;47;28;108;716
Colombia;52;56;35;120;55;68;93;59;42;52;52;63;747
Ecuador;7;9;9;12;16;10;14;10;7;5;7;5;111
Guyana;1;;2;2;2;5;9;7;1;6;1;1;37
Paraguay;1;;1;;4;6;4;2;;1;6;3;28
Perú;12;27;21;12;23;30;81;15;14;8;23;12;278
Surinam;;;;;1;;;;;;;;1
Uruguay;12;4;8;2;6;16;9;14;6;9;8;4;98
Venezuela;24;15;24;22;28;22;45;24;21;6;15;38;284
CARIBE;32;40;64;71;87;92;103;99;54;57;68;50;817
Bahamas;;1;1;4;2;2;2;3;1;2;1;1;20
Bermuda;;3;14;6;3;;1;2;3;9;33;2;76
Cuba;5;3;6;8;2;5;7;4;3;3;;8;54
Haití;4;4;;6;3;9;20;8;1;2;;2;59
Jamaica;8;6;8;4;15;17;13;31;10;9;7;11;139
Puerto Rico1;;;;;;;;;;;;;
RepúblicaDominicana;9;17;24;21;29;33;36;30;33;23;19;17;291
Trinidad y Tobago;2;2;7;16;26;17;11;14;2;7;5;6;115
Otros;4;4;4;6;7;8;14;7;1;2;3;3;63
EUROPA;3850;4298;3595;3247;2577;2119;3473;2480;2043;2384;2967;4010;37043
Alemania;296;303;275;196;125;99;212;110;89;143;198;316;2362
Austria;47;45;37;25;10;11;25;10;13;6;31;45;305
Bélgica;79;94;101;64;40;23;71;35;24;28;68;96;723
Dinamarca;50;63;38;21;14;15;38;6;3;10;19;45;322
Eslovaquia;18;4;7;7;8;16;5;5;7;3;20;4;104
España;105;102;157;164;57;47;176;122;204;132;159;145;1570
Finlandia;16;19;22;7;7;5;2;7;7;3;8;28;131
Francia;390;618;326;377;110;84;178;149;64;119;192;291;2898
Hungría;21;9;8;6;10;1;8;4;;4;11;17;99
Irlanda;45;44;65;51;27;33;50;35;21;24;32;55;482
Israel;50;75;71;54;42;39;68;22;11;34;88;209;763
Italia;426;294;201;149;80;90;209;166;59;102;172;381;2329
Noruega;25;28;58;25;16;25;67;11;18;13;36;47;369
Países Bajos;107;130;121;110;64;37;103;40;28;40;80;130;990
Polonia;72;51;61;66;58;17;44;43;38;35;41;68;594
Portugal;23;27;44;20;11;8;15;11;11;22;15;15;222
Reino Unido;1569;1940;1671;1547;1718;1433;1926;1529;1324;1468;1501;1546;19172
Republica Checa;39;39;22;11;16;10;12;7;14;25;21;29;245
Rumanía;15;21;14;16;11;6;6;8;4;14;10;22;147
Rusia;102;24;44;36;31;14;30;42;13;28;39;114;517
Suecia;90;124;64;52;18;23;26;16;30;24;59;137;663
Suiza;107;106;82;133;28;41;113;39;23;62;88;142;964
Otros;158;138;106;110;76;42;89;63;38;45;79;128;1072
ASIA;254;239;331;267;222;207;248;222;148;122;288;571;3119
China;36;62;95;49;44;53;41;41;27;23;118;105;694
Filipinas;14;17;17;25;22;23;19;20;15;20;18;18;228
India;89;54;113;112;71;51;103;81;44;30;87;285;1120
Japón;38;36;18;24;31;20;35;23;28;24;22;59;358
Rep. de Corea (Sur);35;34;38;16;23;28;13;14;15;10;12;36;274
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;1;3;10;6;6;5;8;3;;3;4;13;62
Otros;41;33;40;35;25;27;29;40;19;12;27;55;383
ÁFRICA;69;76;55;52;52;37;57;38;28;34;28;58;584
Arabia Saudita;5;1;3;3;2;;5;3;;;1;1;24
Líbano;9;4;2;2;2;3;2;;4;2;1;;31
Marruecos;1;7;2;2;4;;1;;1;1;5;;24
Nigeria;3;4;3;3;1;3;1;9;9;8;6;;50
Sudáfrica;17;21;16;17;27;17;18;5;9;14;12;29;202
Otros;34;39;29;25;16;14;30;21;5;9;8;23;253
OCEANÍA;158;165;149;215;190;119;127;105;121;104;162;165;1780
Australia;140;127;127;186;154;98;95;75;105;80;139;146;1472
Nueva Zelanda;18;35;21;29;36;21;32;29;16;17;22;18;294
Otros;;3;1;;;;;1;;7;1;1;14
