País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;150982;160182;172079;141848;120714;142870;155580;129280;91614;99902;133103;163643;1661797
AMÉRICA DEL NORTE;83511;91920;107264;79833;72386;92207;87999;66689;45435;48466;67578;95901;939189
Canadá;14675;15423;14504;7866;5334;4082;4407;4213;2881;3875;6167;12277;95704
Estados Unidos;62351;69417;86012;63382;59380;79940;73103;53228;33388;36503;52752;74440;743896
México;6485;7080;6748;8585;7672;8185;10489;9248;9166;8088;8659;9184;99589
AMÉRICA CENTRAL;12345;13742;12542;14779;13340;16328;14018;13474;12533;13070;13906;12584;162661
Belice;86;50;104;78;57;70;89;57;53;69;62;40;815
El Salvador;2828;2681;2763;3836;3025;3040;3384;3336;3001;2764;3128;3184;36970
Guatemala;3937;4807;4096;4723;3975;5235;4317;3941;3881;4166;4386;4080;51544
Honduras;1243;1395;1063;1278;1194;1508;1441;1209;1202;1564;1295;1104;15496
Nicaragua;1578;1582;1502;1883;1932;1878;1840;1730;1804;1783;1762;1592;20866
Panamá;2673;3227;3014;2981;3157;4597;2947;3201;2592;2724;3273;2584;36970
AMÉRICA DEL SUR;15746;12517;12432;12940;11581;12527;13992;12242;11632;11522;12228;12669;152028
Argentina;3166;2303;1979;1845;1864;1626;1947;1697;1471;1674;1807;2266;23645
Bolivia;193;125;128;151;170;196;163;181;151;132;156;137;1883
Brasil;1753;1475;1610;1683;1776;1472;1812;1570;1356;1327;1401;1534;18769
Chile;1219;1283;941;832;785;797;1032;750;811;734;828;721;10733
Colombia;4427;3450;3554;4087;3510;3949;3881;3479;3576;3459;3458;3646;44476
Ecuador;617;396;559;460;543;472;546;436;481;450;474;473;5907
Guyana;12;16;13;15;11;11;20;16;14;11;25;7;171
Paraguay;70;61;67;70;87;80;99;80;80;74;96;56;920
Perú;987;971;938;920;1;1070;1205;1022;820;859;1005;929;10727
Surinam;2;11;16;8;3;5;2;3;6;10;6;15;87
Uruguay;283;280;265;344;284;319;348;308;251;254;293;236;3465
Venezuela;3017;2146;2362;2525;2547;2530;2937;2700;2615;2538;2679;2649;31245
CARIBE;1075;1103;930;1223;1004;1124;1019;1087;970;979;968;810;12292
Bahamas;17;15;31;58;47;30;60;42;21;13;30;14;378
Bermuda;10;58;31;36;28;13;15;16;24;21;15;20;287
Cuba;336;232;255;297;225;204;238;251;233;258;256;243;3028
Haití;35;39;28;37;25;18;27;38;34;25;22;25;353
Jamaica;59;76;56;80;84;66;52;88;53;74;75;61;824
Puerto Rico1;1;3;1;5;;1;2;3;1;;;1;18
RepúblicaDominicana;526;467;414;441;477;628;424;519;442;449;443;329;5559
Trinidad y Tobago;64;114;69;231;71;116;161;73;100;82;81;67;1229
Otros;27;99;45;38;47;48;40;57;62;57;46;50;616
EUROPA;34751;36996;34467;29674;17765;17425;35122;32379;18092;22800;32776;36920;349167
Alemania;4645;5573;6559;4538;2404;2361;4321;4263;2569;4091;5433;5132;51889
Austria;710;739;533;377;259;241;623;442;218;284;601;728;5755
Bélgica;843;856;978;876;435;533;1542;683;643;530;783;975;9677
Dinamarca;683;743;433;367;108;248;499;181;109;233;438;603;4645
Eslovaquia;74;80;103;55;42;30;41;54;48;47;84;100;758
España;4170;3647;3946;4681;3623;3977;6805;10289;5280;4404;4997;4520;60339
Finlandia;154;162;131;77;38;56;61;49;23;85;166;255;1257
Francia;6851;9500;8310;5362;2325;1805;5009;4088;1461;3389;5554;5776;59430
Hungría;124;99;85;79;52;70;47;49;44;62;129;103;943
Irlanda;241;196;211;241;206;189;339;275;166;176;211;260;2711
Israel;1240;1114;1111;1501;710;697;920;974;701;640;576;996;11180
Italia;2613;2209;1722;1484;1228;1289;1727;2362;1165;1508;2002;2666;21975
Noruega;319;250;242;254;105;156;232;90;90;162;196;363;2459
Países Bajos;1960;1780;1607;1775;1115;1024;4686;2112;1378;1507;2155;2478;23577
Polonia;257;247;192;209;133;157;123;145;108;138;360;240;2309
Portugal;232;267;296;368;251;190;279;374;190;248;319;328;3342
Reino Unido;5015;5218;4639;4352;2327;2297;4477;3813;1868;2463;3842;4931;45242
Republica Checa;236;252;250;133;73;70;77;108;69;94;327;216;1905
Rumanía;147;104;113;85;81;67;72;68;92;68;148;142;1187
Rusia;365;308;249;221;250;177;181;158;201;218;404;464;3196
Suecia;1185;1188;704;400;218;277;296;173;186;386;676;1986;7675
Suiza;1907;1792;1425;1660;1374;1133;2373;1143;1135;1629;2444;2826;20841
Otros;780;672;628;579;408;381;392;486;348;438;931;832;6875
ASIA;2512;3022;3527;2608;2681;2348;2499;2436;2213;2293;4348;3525;34012
China;838;1096;1522;909;1040;847;888;858;816;988;1498;1216;12516
Filipinas;153;123;115;134;131;111;93;103;106;103;228;104;1504
India;413;430;559;485;518;458;504;441;395;389;785;894;6271
Japón;428;635;470;402;281;288;281;418;323;285;594;570;4975
Rep. de Corea (Sur);416;497;428;331;371;285;396;294;327;284;421;368;4418
Rep. Dem. Pop. Corea (Norte);1;;;;;;;;;;;;1
Taiwan;117;124;256;183;183;183;218;172;147;137;290;179;2189
Otros;146;117;177;164;157;176;119;150;99;107;532;194;2138
ÁFRICA;291;207;263;183;236;230;252;295;222;231;521;310;3241
Arabia Saudita;14;4;16;2;9;2;17;11;12;15;12;15;129
Líbano;8;21;18;16;9;10;7;15;2;8;43;22;179
Marruecos;13;29;19;21;14;10;26;36;15;11;18;32;244
Nigeria;17;11;14;13;21;19;13;29;12;12;35;18;214
Sudáfrica;69;73;77;62;80;70;65;66;69;81;142;97;951
Otros;170;69;119;69;103;119;124;138;112;104;271;126;1524
OCEANÍA;752;678;654;710;641;681;679;678;517;541;778;924;8233
Australia;633;585;526;554;490;506;548;530;397;445;631;764;6609
Nueva Zelanda;115;93;128;154;147;174;131;144;117;96;146;156;1601
Otros;4;;;2;4;1;;4;3;;1;4;23
