País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;106444;66822;64935;65051;41530;30797;46162;50308;50501;49639;52326;68369;692884
AMÉRICA DEL NORTE;8741;8727;9241;7177;4201;3389;3439;2929;2917;3693;4063;4974;63491
Canadá;3003;3194;2568;1696;940;591;477;370;417;573;1067;1283;16179
Estados Unidos;5253;5148;6240;4990;2973;2494;2678;2177;2255;2859;2706;3368;43141
México;485;385;433;491;288;304;284;382;245;261;290;323;4171
AMÉRICA CENTRAL;84969;46409;44448;49004;30887;22961;37170;41106;43402;41682;42846;56813;541697
Belice;7;11;17;13;1;2;22;1;6;7;1;11;99
El Salvador;4095;3115;4249;3739;3091;1922;3153;3279;2757;3029;3250;4743;40422
Guatemala;2218;2125;2287;2329;2231;1132;1772;1847;2139;2203;2369;2475;25127
Honduras;2607;1562;2020;1932;1273;786;1253;1312;1466;1663;2070;2329;20273
Nicaragua;66361;32540;31322;37158;21099;16033;27716;30970;32224;30033;28856;38957;393269
Panamá;9681;7056;4553;3833;3192;3086;3254;3697;4810;4747;6300;8298;62507
AMÉRICA DEL SUR;3062;2068;1976;1493;1174;1007;1181;1195;953;919;1133;1252;17413
Argentina;1726;935;909;647;469;443;448;458;353;322;359;396;7465
Bolivia;23;8;25;17;2;12;9;13;5;9;12;19;154
Brasil;233;171;143;148;156;101;122;134;75;90;135;127;1635
Chile;361;447;239;145;137;80;144;118;145;95;124;137;2172
Colombia;345;205;298;275;146;157;193;169;177;162;175;215;2517
Ecuador;39;12;29;26;17;14;24;37;14;13;20;19;264
Guyana;5;1;;2;;1;;1;1;;1;1;13
Paraguay;12;10;15;6;2;2;2;6;5;4;6;6;76
Perú;136;114;131;84;85;66;81;96;52;78;68;81;1072
Surinam;;;0;0;0;0;;;;;;;0
Uruguay;56;40;47;31;41;28;34;41;17;30;29;20;414
Venezuela;126;125;140;112;119;103;124;122;109;116;204;231;1631
CARIBE;36;29;52;53;18;23;23;38;26;31;33;35;397
Bahamas;1;1;1;1;;;;;3;1;5;;13
Bermuda;1;2;1;1;1;;;;;;1;;7
Cuba;7;6;7;4;3;5;8;12;2;1;10;10;75
Haití;3;2;1;;;1;2;1;2;5;2;1;20
Jamaica;1;1;2;6;2;2;1;2;2;;;2;21
Puerto Rico1;;;0;0;0;0;;;;;;;0
RepúblicaDominicana;18;14;32;31;8;6;8;17;8;18;12;17;189
Trinidad y Tobago;1;;7;5;2;8;2;4;7;6;2;2;46
Otros Caribe;4;3;1;5;2;1;2;2;2;;1;3;26
EUROPA;8535;8764;8405;6683;4650;3017;3948;4723;2872;2983;3809;4789;63178
Alemania;1648;1844;2357;1523;885;506;662;743;564;619;848;985;13184
Austria;196;207;164;125;73;47;115;95;78;62;86;119;1367
Bélgica;201;222;185;187;98;56;112;72;71;75;90;119;1488
Dinamarca;185;170;167;95;72;44;57;26;12;39;30;71;968
Eslovaquia;28;43;55;46;17;15;19;9;20;7;41;24;324
España;633;617;598;571;432;357;612;1498;567;433;467;533;7318
Finlandia;83;73;38;26;34;32;11;3;9;9;31;43;392
