País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
TOTAL;94608;62851;35050;7837;3277;6578;603;719;404;228;1439;3901;7294
AMÉRICA DEL NORTE;8685;7609;4618;9;6;9;0;0;1;2;1;1;5
Canadá;3221;2825;1454;0;0;0;0;0;0;0;0;0;0
Estados Unidos;5127;4418;2851;7;6;5;0;0;0;0;1;1;2
México;337;366;313;2;0;4;0;0;1;2;0;0;3
AMÉRICA CENTRAL;75248;45463;24051;7818;3258;6544;536;712;401;219;1429;3877;7174
Belice;22;4;1;0;0;0;0;0;0;0;0;0;0
El Salvador;3707;3197;2595;1519;607;1278;45;21;27;5;12;13;123
Guatemala;2061;1898;1873;1430;635;1391;25;26;23;6;11;11;102
Honduras;2875;1631;1009;360;171;197;2;3;3;6;4;2;20
Nicaragua;58342;32289;16373;3492;1182;2217;66;62;55;51;1178;3627;5039
Panamá;8241;6444;2200;1017;663;1461;398;600;293;151;224;224;1890
AMÉRICA DEL SUR;2424;1862;1059;4;7;19;7;4;1;0;7;5;24
Argentina;1023;611;398;1;3;12;2;1;0;0;1;1;5
Bolivia;30;15;8;0;0;0;2;0;0;0;1;0;3
Brasil;206;161;101;0;0;0;0;0;0;0;1;0;1
Chile;335;355;180;1;0;4;0;0;0;0;0;0;0
Colombia;326;235;116;2;3;0;0;2;0;0;3;0;5
Ecuador;15;9;14;0;0;0;1;0;0;0;1;4;6
Guyana;2;2;0;0;0;0;0;0;0;0;0;0;0
Paraguay;10;3;2;0;0;0;0;0;0;0;0;0;0
Perú;113;129;69;0;1;2;1;0;0;0;0;0;1
Surinam;0;0;0;0;0;0;0;0;0;0;0;0;0
Uruguay;81;46;24;0;0;1;0;0;0;0;0;0;0
Venezuela;283;296;147;0;0;0;1;1;1;0;0;0;3
CARIBE;126;144;150;0;0;1;1;0;0;0;0;0;1
Bahamas;2;1;0;0;0;0;0;0;0;0;0;0;0
Bermuda;1;0;1;0;0;0;0;0;0;0;0;0;0
Cuba;95;123;137;0;0;1;1;0;0;0;0;0;1
Haití;3;0;2;0;0;0;0;0;0;0;0;0;0
Jamaica;5;0;2;0;0;0;0;0;0;0;0;0;0
Puerto Rico1;0;0;0;0;0;0;0;0;0;0;0;0;0
República Dominicana;16;16;4;0;0;0;0;0;0;0;0;0;0
Trinidad y Tobago;3;3;3;0;0;0;0;0;0;0;0;0;0
Otros Caribe;1;1;1;0;0;0;0;0;0;0;0;0;0
EUROPA;7389;7122;4887;5;4;5;7389;7122;4887;5;4;5;19412
Alemania;1645;1583;1374;3;1;0;1645;1583;1374;3;1;0;4606
Austria;212;193;112;0;0;0;212;193;112;0;0;0;517
Bélgica;165;147;86;0;0;0;165;147;86;0;0;0;398
Dinamarca;72;134;94;1;0;1;72;134;94;1;0;1;302
Eslovaquia;35;36;30;0;0;0;35;36;30;0;0;0;101
España;628;513;289;0;0;1;628;513;289;0;0;1;1431
Finlandia;70;40;19;0;0;0;70;40;19;0;0;0;129
Francia;814;1016;577;0;0;0;814;1016;577;0;0;0;2407
Hungría;30;63;24;0;0;0;30;63;24;0;0;0;117
Irlanda;67;82;44;0;0;0;67;82;44;0;0;0;193
Israel;179;152;160;0;0;0;179;152;160;0;0;0;491
Italia;606;533;262;0;3;1;606;533;262;0;3;1;1405
Noruega;62;73;52;0;0;0;62;73;52;0;0;0;187
Países Bajos;529;547;382;0;0;0;529;547;382;0;0;0;1458
Polonia;218;187;106;0;0;1;218;187;106;0;0;1;512
Portugal;78;86;27;0;0;0;78;86;27;0;0;0;191
Reino Unido;793;783;456;0;0;0;793;783;456;0;0;0;2032
Republica Checa;99;89;110;0;0;0;99;89;110;0;0;0;298
Rumanía;46;40;22;0;0;0;46;40;22;0;0;0;108
Rusia;135;112;78;0;0;0;135;112;78;0;0;0;325
Suecia;221;180;112;0;0;0;221;180;112;0;0;0;513
Suiza;466;368;328;1;0;1;466;368;328;1;0;1;1164
Otros Europa;219;165;143;0;0;0;219;165;143;0;0;0;527
ASIA Y EL PACÍFICO;680;625;264;1;2;0;680;625;264;1;2;0;1572
China;59;62;20;0;1;0;59;62;20;0;1;0;142
Filipinas;26;21;6;0;0;0;26;21;6;0;0;0;53
India;41;16;10;1;0;0;41;16;10;1;0;0;68
Japón;65;61;57;0;0;0;65;61;57;0;0;0;183
Rep. de Corea (Sur);64;112;18;0;0;0;64;112;18;0;0;0;194
Rep. Dem. Pop. Corea (Norte);0;0;0;0;0;0;0;0;0;0;0;0;0
Taiwan;50;43;5;0;0;0;50;43;5;0;0;0;98
Australia;289;235;118;0;0;0;289;235;118;0;0;0;642
Nueva Zelanda;63;46;20;0;0;0;63;46;20;0;0;0;129
Otros Asia y El Pacífico;23;29;10;0;1;0;23;29;10;0;1;0;63
ÁFRICA;40;21;17;0;0;0;40;21;17;0;0;0;78
Marruecos;1;2;2;0;0;0;1;2;2;0;0;0;5
Nigeria;0;0;1;0;0;0;0;0;1;0;0;0;1
Sudáfrica;35;10;10;0;0;0;35;10;10;0;0;0;55
Otros África;4;9;4;0;0;0;4;9;4;0;0;0;17
ORIENTE MEDIO;16;5;4;0;0;0;16;5;4;0;0;0;25
Arabia Saudita;0;0;0;0;0;0;0;0;0;0;0;0;0
Egipto;3;1;0;0;0;0;3;1;0;0;0;0;4
Emiratos Árabes Unidos;0;0;0;0;0;0;0;0;0;0;0;0;0
Jordania;1;0;0;0;0;0;1;0;0;0;0;0;1
Líbano;3;0;1;0;0;0;3;0;1;0;0;0;4
Otros Oriente Medio;9;4;3;0;0;0;9;4;3;0;0;0;16
