País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
TOTAL;1443;372;484;3302;5355;6992;7715;7841;7396;8702;10448;14133;74183
AMÉRICA DEL NORTE;1;3;1;941;2258;2504;2382;2436;1854;2106;2386;3094;19966
Canadá;;;;98;429;298;179;362;186;331;582;721;3186
Estados Unidos;1;2;1;788;1736;2110;2103;2005;1574;1673;1709;2231;15933
México;;1;;55;93;96;100;69;94;102;95;142;847
AMÉRICA CENTRAL;1436;363;478;1753;1719;2832;3657;2880;3238;4176;4783;7064;34379
Belice;;;;;;1;2;;1;;1;2;7
El Salvador;5;18;25;41;41;126;225;89;87;106;83;196;1042
Guatemala;;8;16;30;31;91;110;69;55;71;57;95;633
Honduras;5;2;9;66;146;150;174;184;112;489;286;435;2058
Nicaragua;1378;239;208;1131;1141;1872;2238;1930;2177;2693;2742;4766;22515
Panamá;48;96;220;485;360;592;908;608;806;817;1614;1570;8124
AMÉRICA DEL SUR;2;;2;108;202;264;183;357;274;305;368;436;2501
Argentina;;;;24;109;119;44;134;74;83;86;129;802
Bolivia;;;;1;4;1;1;4;2;3;4;4;24
Brasil;;;;15;24;21;38;57;49;48;47;52;351
Chile;;;;10;12;35;18;40;29;46;60;43;293
Colombia;2;;;20;11;21;29;28;25;39;62;59;296
Ecuador;;;;;1;3;1;3;3;6;4;9;30
Guyana;;;;1;;;;4;;2;1;;8
Guyana Francesa;;;;;;;;;;;;;
Paraguay;;;;2;1;1;1;;2;1;2;1;11
Perú;;;2;8;13;20;14;25;22;15;41;43;203
Surinam;;;;1;1;;;1;;;;;3
Uruguay;;;;4;2;11;14;15;27;20;13;13;119
Venezuela;;;;22;24;32;23;46;41;42;48;83;361
CARIBE;;;;2;9;5;9;11;17;8;10;9;80
Bahamas;;;;;;;4;1;1;1;;1;8
Bermuda;;;;;;;;;;;;;
Cuba;;;;;1;4;1;;;;2;2;10
Haití;;;;;;;;2;1;;;1;4
Jamaica;;;;;2;;1;1;6;1;2;2;15
Puerto Rico^{1};;;;;;;;;;;;;
República Dominicana;;;;2;2;1;;5;1;4;5;2;22
Trinidad y Tobago;;;;;2;;3;;2;1;1;;9
Otros Caribe;;;;;2;;;2;6;1;;1;12
EUROPA;4;6;3;471;1093;1296;1391;2039;1916;2002;2800;3410;16431
Alemania;;;;72;150;189;169;213;330;399;598;752;2872
Austria;;;;9;20;31;30;26;29;31;53;65;294
Bélgica;;;2;6;31;26;28;41;30;44;75;96;379
Dinamarca;;;;5;13;24;12;10;19;23;33;61;200
Eslovaquia;;;;6;8;8;2;8;13;8;7;10;70
España;;;;53;90;159;211;399;268;349;349;341;2219
Finlandia;;;;1;7;4;;2;2;2;6;10;34
Francia;;1;;76;164;187;168;256;163;209;368;406;1998
Hungría;;;;4;5;15;4;6;12;2;8;8;64
Irlanda;;;;7;10;11;10;13;7;23;25;30;136
Israel;;;;19;68;142;322;456;512;260;179;239;2197
Italia;;1;1;42;93;87;64;121;89;88;122;146;854
Noruega;;;;3;3;8;9;4;7;9;32;34;109
Países Bajos;;4;;27;61;76;58;108;68;137;222;303;1064
Polonia;;;;7;19;8;33;13;30;43;75;84;312
Portugal;;;;5;10;5;8;38;36;37;55;38;232
Reino Unido;;;;31;163;121;75;98;96;115;172;234;1105
Republica Checa;;;;8;18;10;29;24;17;16;58;26;206
Rumanía;;;;3;7;15;3;15;17;7;10;79;156
Rusia;4;;;23;24;19;14;25;20;17;42;54;242
Suecia;;;;3;14;9;12;18;24;34;54;77;245
Suiza;;;;52;82;103;105;113;96;113;183;228;1075
Otros Europa;;;;9;33;39;25;32;31;36;74;89;368
ASIA Y EL PACÍFICO;;;;20;58;76;69;86;79;74;89;92;643
China;;;;2;1;5;10;13;6;9;10;7;63
Filipinas;;;;1;8;9;4;8;9;12;15;8;74
India;;;;3;3;2;6;5;3;3;6;3;34
Japón;;;;2;6;4;11;2;2;4;5;6;42
Rep. de Corea (Sur);;;;1;14;11;6;7;13;4;7;15;78
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;;;;;1;6;6;2;7;4;5;9;40
Australia;;;;10;18;23;18;38;28;24;27;37;223
Nueva Zelanda;;;;1;6;10;1;8;9;12;10;6;63
Otros Asia y El Pacífico;;;;;1;6;7;3;2;2;4;1;26
ÁFRICA;;;;4;13;12;23;28;17;29;10;26;162
Marruecos;;;;;;;2;3;1;1;;5;12
Nigeria;;;;;;;;;;;;;
Sudáfrica;;;;4;12;9;19;20;15;25;8;18;130
Otros África;;;;;1;3;2;5;1;3;2;3;20
ORIENTE MEDIO;;;;3;3;3;1;4;1;2;2;2;21
Arabia Saudita;;;;1;;;;1;;;1;;3
Egipto;;;;;2;1;1;1;;;;;5
Emiratos Árabes Unidos;;;;;;;;;;;;;
Jordania;;;;;;;;;;2;;1;3
Líbano;;;;;;;;;;;1;;1
Otros Oriente Medio;;;;2;1;2;;2;1;;;1;9
