País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
TOTAL;55076;59463;75574;64537;52260;57039;60920;45478;24050;29604;59690;77888;661579
AMÉRICA DEL NORTE;51018;55744;71379;60391;49144;54377;57585;42187;22355;27300;55113;72149;618742
Canadá;9558;11376;14052;9744;3767;1960;3229;3128;1753;4002;12400;17628;92597
Estados Unidos;41339;44262;57239;50435;45213;52295;54226;38945;20534;23231;42627;54257;524603
México;121;106;88;212;164;122;130;114;68;67;86;264;1542
AMÉRICA CENTRAL;90;84;92;164;81;71;105;85;75;76;65;110;1098
Belice;1;1;2;1;2;;2;2;;2;1;2;16
El Salvador;9;13;18;88;16;10;11;22;7;8;10;20;232
Guatemala;21;11;12;12;9;21;7;5;7;4;8;6;123
Honduras;;10;7;10;5;5;12;4;10;6;3;7;79
Nicaragua;57;48;52;48;48;35;73;49;50;43;42;74;619
Panamá;2;1;1;5;1;;;3;1;13;1;1;29
AMÉRICA DEL SUR;246;203;219;214;203;155;232;140;99;129;175;204;2219
Argentina;69;36;41;61;33;33;40;17;11;15;41;39;436
Bolivia;3;5;4;3;2;2;3;;1;;1;;24
Brasil;67;50;92;55;51;39;57;38;29;34;61;77;650
Chile;50;58;19;22;39;19;30;22;9;25;13;18;324
Colombia;23;22;30;28;29;23;40;24;13;17;18;20;287
Ecuador;3;11;3;6;7;6;14;8;7;4;7;9;85
Guyana;8;1;;6;11;5;4;7;3;6;3;2;56
Paraguay;;;;1;4;;;;;2;2;3;12
Perú;9;9;23;21;18;9;35;17;17;17;10;20;205
Surinam;;;;;1;;;;;;;;1
Uruguay;5;3;2;3;2;10;3;3;7;3;6;2;49
Venezuela;9;8;5;8;6;9;6;4;2;6;13;14;90
CARIBE;35;29;47;62;107;73;83;70;44;54;41;56;701
Bahamas;3;1;3;5;7;3;3;2;2;4;1;3;37
Bermuda;1;2;4;1;4;1;2;7;;1;2;3;28
Cuba;;1;2;4;2;5;6;2;3;7;10;7;49
Haití;2;5;4;10;9;17;6;13;9;4;2;6;87
Jamaica;5;4;14;13;29;17;29;10;20;14;9;12;176
Puerto Rico1;;;;;;;;;;;;;
República Dominicana;7;6;9;13;27;15;16;15;6;15;8;12;149
Trinidad y Tobago;10;4;8;9;16;9;17;11;2;7;3;6;102
Otros Caribe;7;6;3;7;13;6;4;10;2;2;6;7;73
EUROPA;3372;3092;3430;3173;2199;2020;2525;2578;1262;1793;3726;4478;33648
Alemania;250;245;295;249;148;126;157;163;96;147;381;431;2688
Austria;45;32;29;36;22;8;15;17;12;50;42;51;359
Bélgica;82;65;56;46;20;19;18;38;18;12;40;68;482
Dinamarca;37;41;48;32;8;5;18;16;;22;21;35;283
Eslovaquia;16;10;10;10;6;15;6;4;6;7;22;16;128
España;64;45;77;63;61;37;46;81;24;29;133;86;746
Finlandia;8;18;2;16;12;6;11;4;7;;10;14;108
Francia;231;270;217;194;116;58;91;96;34;49;163;266;1785
Hungría;14;26;25;10;12;6;7;6;13;8;12;33;172
Irlanda;50;40;51;82;57;43;42;50;24;14;52;68;573
Israel;125;83;64;137;42;44;44;50;18;33;49;122;811
Italia;208;122;173;79;73;51;69;114;39;50;161;245;1384
Noruega;27;34;14;17;6;5;21;5;7;14;25;35;210
Países Bajos;262;161;168;61;49;19;110;40;27;70;193;231;1391
Polonia;95;71;50;73;50;27;27;36;34;82;65;77;687
Portugal;32;13;28;23;11;8;1;19;3;12;24;32;206
Reino Unido;1217;1379;1765;1642;1316;1358;1576;1631;787;974;1780;1987;17412
Republica Checa;55;41;44;19;12;5;8;9;11;11;43;46;304
Rumanía;31;25;9;14;17;9;15;4;8;7;15;14;168
Rusia;69;49;27;25;16;13;24;27;11;11;26;56;354
Suecia;60;60;72;57;19;15;18;11;12;13;136;110;583
Suiza;232;173;110;169;58;66;143;95;32;106;180;225;1589
Otros Europa;162;89;96;119;68;77;58;62;39;72;153;230;1225
ASIA Y EL PACÍFICO;256;268;358;472;451;312;341;362;184;228;524;818;4574
China;24;22;38;33;86;46;35;56;21;17;87;183;648
Filipinas;23;26;15;23;15;8;16;16;12;14;22;11;201
India;40;63;87;187;116;80;106;105;51;51;147;350;1383
Japón;20;14;15;22;24;20;15;31;15;12;70;44;302
Rep. de Corea (Sur);5;22;26;24;14;9;17;15;5;14;13;38;202
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;1;5;6;6;7;7;4;8;;9;26;4;83
Australia;85;76;105;121;129;100;69;75;48;49;83;93;1033
Nueva Zelanda;14;13;24;17;16;20;42;24;12;28;26;39;275
Otros Asia y El Pacífico;44;27;42;39;44;22;37;32;20;34;50;56;447
ÁFRICA;42;23;35;43;54;25;39;50;24;19;35;56;445
Marruecos;6;;;4;1;1;;1;;;2;9;24
Nigeria;6;3;5;10;16;4;9;14;7;6;4;3;87
Sudáfrica;14;12;12;18;16;7;19;14;10;9;29;29;189
Otros África;16;8;18;11;21;13;11;21;7;4;;15;145
ORIENTE MEDIO;17;20;14;18;21;6;10;6;7;5;11;17;152
Arabia Saudita;1;1;2;;1;;4;;;;5;2;16
Egipto;3;3;1;6;3;3;1;1;;1;1;4;27
Emiratos Árabes Unidos;3;2;;1;1;;;2;;;;;9
Jordania;;1;2;4;5;1;1;;2;;2;;18
Líbano;8;11;6;6;8;;1;1;3;2;3;6;55
Otros Oriente Medio;2;2;3;1;3;2;3;2;2;2;;5;27
