País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
TOTAL;114505;124895;149831;129631;108643;129027;143926;114216;78618;87276;121965;153395;1455928
AMÉRICA DEL NORTE;64829;72439;91822;74982;71071;90940;85611;62926;43270;47098;65620;91069;861677
Canadá;6892;8785;10686;6926;5245;4401;4931;4496;2615;3653;7825;11943;78398
Estados Unidos;55278;60648;77204;63251;61172;81886;75067;52836;35864;38874;52496;73148;727724
México;2659;3006;3932;4805;4654;4653;5613;5594;4791;4571;5299;5978;55555
AMÉRICA CENTRAL;4938;4578;10161;7432;6789;7714;6440;6614;7186;7501;8346;7988;85687
Belice;27;20;26;23;54;56;35;38;60;29;38;33;439
El Salvador;1321;1291;3290;2334;1972;2073;1722;1662;1736;1898;1915;2081;23295
Guatemala;1223;1416;2990;2720;2065;2756;2085;2215;2549;2706;3100;3019;28844
Honduras;559;553;2098;827;890;957;770;846;847;1030;939;743;11059
Nicaragua;552;464;644;610;700;749;782;747;835;688;860;883;8514
Panamá;1256;834;1113;918;1108;1123;1046;1106;1159;1150;1494;1229;13536
AMÉRICA DEL SUR;8339;7817;6982;7774;7509;8223;9308;8491;7271;8455;9888;10190;100247
Argentina;1822;1287;1229;1181;1200;1318;1562;1379;1132;1344;1730;2104;17288
Bolivia;83;63;78;89;86;114;101;118;98;85;120;115;1150
Brasil;1166;897;1107;1100;1102;1191;1088;1149;1021;1055;1565;1738;14179
Chile;1329;1306;949;992;941;949;1170;992;951;1184;1221;1324;13308
Colombia;1492;1467;1745;2267;1890;2304;2187;2063;1885;2241;2587;2395;24523
Ecuador;208;176;283;326;295;441;366;393;344;377;438;309;3956
Guyana;7;6;8;14;5;4;4;29;28;9;8;4;126
Paraguay;43;36;53;92;89;76;43;67;45;82;77;37;740
Perú;742;978;1025;1159;1452;1278;2091;1640;1185;1431;1457;1475;15913
Surinam;;;4;;;1;5;5;15;4;10;1;45
Uruguay;298;250;220;275;174;255;360;326;262;296;310;288;3314
Venezuela;1149;1351;281;279;275;292;331;330;305;347;365;400;5705
CARIBE;265;409;483;526;478;677;473;553;541;754;809;544;6512
Bahamas;7;32;15;15;22;39;27;21;17;46;17;17;275
Bermuda;3;4;5;12;4;8;8;5;4;1;7;9;70
Cuba;35;31;47;23;34;47;47;40;51;96;92;63;606
Haití;18;25;22;30;29;53;23;19;19;36;15;24;313
Jamaica;28;35;44;51;66;76;44;63;64;104;50;48;673
Puerto Rico1;;;;;;;;1;;;;;1
República Dominicana;139;219;270;320;262;336;245;317;302;349;528;305;3592
Trinidad y Tobago;23;20;42;43;41;95;42;55;41;68;56;40;566
Otros Caribe;12;43;38;32;20;23;37;32;43;54;44;38;416
EUROPA;34945;38411;38347;37143;20732;19511;40025;33261;18626;21698;34655;39731;377085
Alemania;5287;6247;7373;5767;3651;3256;4932;5358;3423;4877;7534;6316;64021
Austria;623;731;645;549;386;272;842;515;318;438;674;779;6772
Bélgica;856;910;823;1019;473;507;1804;802;580;550;735;972;10031
Dinamarca;962;1111;1083;861;420;309;685;162;165;434;604;637;7433
Eslovaquia;172;174;142;189;186;87;71;78;78;53;142;96;1468
España;2872;2826;3416;4425;3303;3735;6996;8946;4330;3456;4149;4003;52457
Finlandia;146;118;106;56;56;52;67;44;49;59;144;231;1128
Francia;6871;9264;7639;5846;2591;2066;4870;4093;1538;2708;4509;5710;57705
Hungría;260;340;249;128;93;104;66;54;56;77;203;264;1894
Irlanda;264;262;261;359;303;319;455;300;155;195;267;392;3532
Israel;1232;1099;1074;1915;918;979;1416;1140;1495;724;703;1075;13770
Italia;1151;988;1103;1119;756;794;998;1857;654;838;1408;2391;14057
Noruega;266;277;312;254;121;291;312;162;123;177;307;438;3040
Países Bajos;1979;1922;1963;2511;1414;1384;5851;2545;1460;1315;2253;2699;27296
Polonia;904;797;758;410;202;229;235;180;250;330;686;399;5380
Portugal;358;388;464;593;303;343;273;514;181;282;396;408;4503
Reino Unido;4505;5073;6076;6098;3207;2632;6073;4167;1737;2188;5120;6131;53007
Republica Checa;747;779;759;346;180;204;228;133;209;234;526;421;4766
Rumanía;194;158;125;135;87;75;81;61;70;100;150;236;1472
Rusia;542;308;188;202;178;186;188;224;168;316;332;448;3280
Suecia;846;946;582;415;188;287;245;153;163;347;572;1445;6189
Suiza;2762;2600;2295;3163;1201;934;2815;1139;925;1441;2383;2845;24503
Otros Europa;1146;1093;911;783;515;466;522;634;499;559;858;1395;9381
ASIA Y EL PACÍFICO;964;1008;1702;1558;1670;1686;1809;2008;1466;1555;2348;3523;21297
China;144;121;336;215;274;310;301;422;230;280;456;828;3917
Filipinas;78;69;120;77;87;157;85;126;92;91;117;124;1223
India;146;280;469;460;472;475;463;404;347;319;648;933;5416
Japón;97;80;149;138;107;116;211;183;140;119;213;314;1867
Rep. de Corea (Sur);119;93;124;148;169;113;200;215;181;181;172;215;1930
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;36;22;24;29;34;30;70;38;31;34;44;56;448
Australia;215;206;251;299;254;261;256;347;257;333;391;629;3699
Nueva Zelanda;44;39;75;90;85;97;83;119;67;90;136;167;1092
Otros Asia y El Pacífico;85;98;154;102;188;127;140;154;121;108;171;257;1705
ÁFRICA;169;175;249;171;306;226;186;296;206;172;254;255;2665
Marruecos;20;24;25;12;21;16;19;33;16;6;15;24;231
Nigeria;15;22;32;11;27;28;17;61;16;19;42;19;309
Sudáfrica;83;85;98;93;109;92;73;73;90;85;93;106;1080
Otros África;51;44;94;55;149;90;77;129;84;62;104;106;1045
ORIENTE MEDIO;56;58;85;45;88;50;74;67;52;43;45;95;758
Arabia Saudita;6;17;8;3;18;9;13;7;14;10;3;5;113
Egipto;16;6;11;10;16;13;14;5;15;7;16;24;153
Emiratos Árabes Unidos;2;8;5;3;12;5;3;12;5;2;1;12;70
Jordania;9;4;13;9;5;4;9;6;4;4;6;8;81
Líbano;7;11;19;11;10;3;6;5;6;12;7;17;114
Otros Oriente Medio;16;12;29;9;27;16;29;32;8;8;12;29;227
